Score	num moves	valid moves	location change	time taken
35	20	20	7	917.3420729637146
-5	17	17	10	764.8886163234711
35	20	20	7	915.1501643657684
39	20	20	11	910.5459687709808
0	6	6	5	270.0205421447754
15	20	20	14	909.0432884693146
25	9	9	6	402.56514954566956
25	14	14	8	630.3831524848938
0	6	6	4	267.79530787467957
10	20	20	5	911.4537627696991
40	20	20	9	913.8858602046967
39	20	20	12	914.7307493686676
25	12	12	6	543.4265928268433
10	20	20	9	911.3140230178833
25	15	15	8	688.1657657623291
0	10	10	4	455.7590432167053
35	20	20	5	922.596846818924
0	7	7	5	315.38749265670776
25	15	15	6	679.637656211853
0	6	6	4	272.7814407348633
25	11	11	6	507.4030077457428
39	20	20	10	946.0640132427216
25	10	10	6	476.2349741458893
15	20	20	10	956.2248585224152
25	10	10	6	478.15275502204895
39	20	20	10	955.3398652076721
15	20	20	14	923.6223523616791
35	20	20	13	936.9153759479523
25	12	12	6	559.1520624160767
25	19	19	8	891.8769404888153
10	20	20	10	934.5988595485687
25	11	11	6	509.5386550426483
39	20	20	10	937.0035381317139
45	20	20	9	933.6636214256287
15	20	20	10	933.3467252254486
0	7	7	6	324.86339712142944
-5	15	15	8	698.163544178009
5	20	20	8	932.7709522247314
0	6	6	4	279.5084218978882
0	12	12	6	562.9764058589935
25	11	11	6	513.9447932243347
-5	9	9	7	417.15356183052063
25	10	10	6	465.7414495944977
35	20	20	7	936.8448708057404
0	7	7	5	325.2080502510071
25	10	10	6	466.86499309539795
25	10	10	6	466.04946541786194
25	19	19	10	896.5236246585846
25	14	14	6	651.3427577018738
0	12	12	6	562.3842697143555
0	5	5	4	231.6906397342682
-5	18	18	9	838.7738254070282
25	11	11	6	515.5496935844421
0	5	5	4	231.99398589134216
35	20	20	5	937.8707756996155
25	15	15	6	702.5431272983551
0	5	5	4	231.87887597084045
39	20	20	11	941.9534282684326
25	18	18	8	851.0326330661774
