Score	num moves	valid moves	location change	time taken
0	8	8	6	372.81241726875305
0	9	9	4	419.7815372943878
50	20	19	11	935.0030884742737
0	7	7	4	325.7781205177307
39	20	20	10	934.6327941417694
-10	5	5	5	231.78316807746887
50	20	20	12	935.7219684123993
40	20	20	12	934.9194288253784
15	20	20	15	933.6713974475861
15	20	20	7	903.5553154945374
35	20	20	5	899.9522130489349
15	20	20	8	904.5903594493866
40	20	20	12	901.5463190078735
35	20	20	8	903.880113363266
40	20	20	12	901.1059122085571
25	19	19	6	858.6412425041199
0	5	5	4	224.14867639541626
0	7	7	4	315.0380039215088
10	20	20	6	910.0165045261383
15	20	20	14	900.1677355766296
10	20	20	7	902.5439078807831
0	20	5	5	223.38103103637695
10	20	20	4	899.1020591259003
10	20	20	5	908.3221979141235
10	20	20	4	906.025059223175
10	20	20	9	904.0562493801117
10	20	20	5	903.8360600471497
10	20	20	7	902.0095691680908
-10	5	5	5	223.2337191104889
25	18	18	6	810.3036124706268
